result,pnl,lot,entry,sl,tp1,tp2,direction,bar,time,engine,balance_before,balance_after
TP2,46.9,0.5,4600.39990234375,4600.39990234375,4607.10017656215,4612.460395936871,LONG,307,2026-01-12 12:45:00+00:00,EMA,9898.82,9945.72
SL,0.0,0.5,4612.10009765625,4612.10009765625,4604.127878469507,4597.750103120113,SHORT,337,2026-01-12 20:15:00+00:00,EMA,9945.72,9945.72
SL,-34.12,0.5,4606.7001953125,4599.877001401326,4613.523389223674,4618.981944352612,LONG,364,2026-01-13 04:00:00+00:00,EMA,9945.72,9911.6
SL,0.0,0.5,4593.7998046875,4593.7998046875,4586.734926299528,4581.08302358915,SHORT,373,2026-01-13 06:15:00+00:00,EMA,9911.599999999999,9911.6
SL,-36.69,0.5,4601.60009765625,4594.261313852171,4608.938881460329,4614.809908503593,LONG,383,2026-01-13 08:45:00+00:00,EMA,9911.599999999999,9874.91
TP2,56.09,0.5,4611.5,4611.5,4619.512559519293,4625.9226071347275,LONG,400,2026-01-13 13:00:00+00:00,EMA,9874.909999999998,9931.0
TP2,85.99,0.5,4599.0,4599.0,4586.715577162801,4576.888038893042,SHORT,419,2026-01-13 17:45:00+00:00,EMA,9930.999999999998,10016.99
TP2,53.63,0.5,4616.89990234375,4616.89990234375,4624.561933080238,4630.691557669429,LONG,441,2026-01-14 00:15:00+00:00,EMA,10016.989999999998,10070.62
TP2,70.86,0.5,4625.7001953125,4625.7001953125,4615.576956802115,4607.4783659938075,SHORT,498,2026-01-14 14:30:00+00:00,EMA,10070.619999999997,10141.48
SL,-47.37,0.5,4642.5,4633.02578495361,4651.97421504639,4659.553587083502,LONG,515,2026-01-14 18:45:00+00:00,EMA,10141.479999999998,10094.11
SL,-41.23,0.5,4627.7998046875,4636.045477685941,4619.554131689059,4612.957593290307,SHORT,526,2026-01-14 21:30:00+00:00,EMA,10094.109999999997,10052.88
SL,-48.47,0.5,4614.5,4604.806834757743,4624.193165242257,4631.947697436063,LONG,559,2026-01-15 06:45:00+00:00,EMA,10052.879999999997,10004.41
SL,-50.09,0.5,4621.0,4610.982933340216,4631.017066659784,4639.0307199876115,LONG,593,2026-01-15 15:15:00+00:00,EMA,10004.409999999998,9954.32
SL,-34.19,0.5,4609.0,4615.838787172245,4602.161212827755,4596.690183089958,SHORT,613,2026-01-15 20:15:00+00:00,EMA,9954.319999999998,9920.13
SL,-29.76,0.5,4619.7001953125,4613.747893868948,4625.652496756052,4630.414337910893,LONG,618,2026-01-15 21:30:00+00:00,EMA,9920.129999999997,9890.37
SL,0.0,0.5,4613.7001953125,4613.7001953125,4607.825836461821,4603.126349381278,SHORT,621,2026-01-15 23:15:00+00:00,EMA,9890.369999999997,9890.37
SL,-32.03,0.5,4615.39990234375,4608.994583791577,4621.805220895923,4626.929475737662,LONG,647,2026-01-16 05:45:00+00:00,EMA,9890.369999999997,9858.34
SL,-37.17,0.5,4599.7001953125,4607.133519187508,4592.266871437492,4586.320212337485,SHORT,650,2026-01-16 06:30:00+00:00,EMA,9858.339999999997,9821.17
TP2,48.82,0.5,4600.89990234375,4600.89990234375,4593.926109478618,4588.347075186513,SHORT,676,2026-01-16 13:00:00+00:00,EMA,9821.169999999996,9869.99
